N,Name,NameTrimmed,Parent,VTAddr,Size,ID,VTSize,CtorName
280,        CTaskComplexFallAndStayDown,CTaskComplexFallAndStayDown,CTaskComplex,0x870480,0x14,0x0D1,0x2C,
281,        CTaskComplexInAirAndLand,CTaskComplexInAirAndLand,CTaskComplex,0x8704AC,0x10,0x0F0,0x2C,_ZN24CTaskComplexInAirAndLandC2Ebb
282,        CTaskComplexFallToDeath,CTaskComplexFallToDeath,CTaskComplex,0x870520,0x24,0x115,0x2C,_ZN23CTaskComplexFallToDeathC2EiRK7CVectorbb
283,        CTaskComplexJump,CTaskComplexJump,CTaskComplex,0x870570,0x14,0x0D3,0x2C,_ZN16CTaskComplexJumpC2Ei
284,            CTaskComplexClimb,CTaskComplexClimb,CTaskComplexJump,0x859DCC,0x14,0x10B,0x2C,
285,        CTaskComplexStuckInAir,CTaskComplexStuckInAir,CTaskComplex,0x870608,0x0C,0x203,0x2C,_ZN22CTaskComplexStuckInAirC2Ev
286,        CTaskComplexPartner,CTaskComplexPartner,CTaskComplex,0x870664,,0x100,0x38,_ZN19CTaskComplexPartnerC2EPcP4CPedhfhi7CVector
287,            CTaskComplexPartnerDeal,CTaskComplexPartnerDeal,CTaskComplexPartner,0x870754,0x74,0x4B2,0x38,_ZN23CTaskComplexPartnerDealC2EPcP4CPedhf7CVector
288,            CTaskComplexPartnerGreet,CTaskComplexPartnerGreet,CTaskComplexPartner,0x87078C,0x78,0x4B3,0x38,_ZN24CTaskComplexPartnerGreetC2EPcP4CPedhfi7CVector
289,            CTaskComplexPartnerChat,CTaskComplexPartnerChat,CTaskComplexPartner,0x8707C4,0x78,0x4B4,0x38,_ZN23CTaskComplexPartnerChatC2EPcP4CPedhfihh7CVector
290,            CTaskComplexPartnerShove,CTaskComplexPartnerShove,CTaskComplexPartner,0x870800,0x74,0x4B9,0x38,_ZN24CTaskComplexPartnerShoveC2EPcP4CPedhfi7CVector
291,        CTaskComplexChat,CTaskComplexChat,CTaskComplex,0x8706A0,0x20,0x4C2,0x2C,_ZN16CTaskComplexChatC2EhP4CPedis
292,        CTaskComplexWalkAlongsidePed,CTaskComplexWalkAlongsidePed,CTaskComplex,0x8706CC,0x20,0x4B8,0x2C,_ZN28CTaskComplexWalkAlongsidePedC2EP4CPedf
293,        CTaskComplexWaitForPed,CTaskComplexWaitForPed,CTaskComplex,0x8706F8,0x2C,0x4BD,0x2C,_ZN22CTaskComplexWaitForPedC2EP4CPedfih
294,        CTaskComplexBeInCouple,CTaskComplexBeInCouple,CTaskComplex,0x870724,0x20,0x4BF,0x2C,_ZN22CTaskComplexBeInCoupleC2EP4CPedhhhf
295,        CTaskComplexArrestPed,CTaskComplexArrestPed,CTaskComplex,0x8709A8,0x24,0x44D,0x2C,_ZN21CTaskComplexArrestPedC2EP4CPed
296,        CTaskComplexPolicePursuit,CTaskComplexPolicePursuit,CTaskComplex,0x8709D4,0x18,0x44F,0x2C,_ZN25CTaskComplexPolicePursuitC2Ev
297,        CTaskComplexKillCriminal,CTaskComplexKillCriminal,CTaskComplex,0x870A00,0x20,0x451,0x2C,_ZN24CTaskComplexKillCriminalC2EP4CPedb
298,        CTaskComplexCopInCar,CTaskComplexCopInCar,CTaskComplex,0x870A2C,0x34,0x452,0x2C,_ZN20CTaskComplexCopInCarC2EP8CVehicleP4CPedS3_b
299,        CTaskComplexFacial,CTaskComplexFacial,CTaskComplex,0x870ADC,0x20,0x131,0x2C,_ZN18CTaskComplexFacialC2Ev
300,        CTaskComplexFollowLeaderInFormation,CTaskComplexFollowLeaderInFormation,CTaskComplex,0x870C3C,0x28,0x391,0x2C,
301,        CTaskComplexFollowLeaderAnyMeans,CTaskComplexFollowLeaderAnyMeans,CTaskComplex,0x870C68,0x24,0x39B,0x2C,_ZN32CTaskComplexFollowLeaderAnyMeansC2EP9CPedGroupP4CPedRK7CVector
